ori,agency_name,city,state,agency_type
IL0492900,Lincolnshire Police Department,lincolnshire,IL,City
IL0493000,Lindenhurst Police Department,lindenhurst,IL,City
IL0493300,Tower Lakes  Police Department,tower lakes,IL,City
IL0493600,Kildeer Police Department,kildeer,IL,City
IL0493800,Hawthorn Woods Police Department,hawthorn woods,IL,City
IL0710200,Mount Morris Police Department,mount morris,IL,City
IL0710400,Polo Police Department,polo,IL,City
IL0710500,Rochelle Police Department,rochelle,IL,City
IL0710600,Byron Police Department,byron,IL,City
IL0710300,Oregon Police Department,oregon,IL,City
IL0710100,Forreston Police Department,forreston,IL,City
IL0750400,Pleasant Hill Police Department,pleasant hill,IL,City
IL0750300,Pittsfield Police Department,pittsfield,IL,City
IL0990100,Beecher Police Department,beecher,IL,City
IL0990400,Crest Hill Police Department,crest hill,IL,City
IL0990500,Crete Police Department,crete,IL,City
IL0990600,Frankfort Police Department,frankfort,IL,City
IL0990800,Lockport Police Department,lockport,IL,City
IL0990900,Monee Police Department,monee,IL,City
IL0991000,Peotone Police Department,peotone,IL,City
IL0991200,Rockdale Police Department,rockdale,IL,City
IL0991300,Romeoville Police Department,romeoville,IL,City
IL0991400,Wilmington Police Department,wilmington,IL,City
IL0991500,New Lenox Police Department,new lenox,IL,City
IL0991600,Manhattan Police Department,manhattan,IL,City
IL0991700,Elwood Police Department,elwood,IL,City
IL0992100,Shorewood Police Department,shorewood,IL,City
IL0992200,Mokena Police Department,mokena,IL,City
IL099900X,Homer Glen Police Department,homer glen,IL,City
IL0010300,Quincy Police Department,quincy,IL,City
IL0010100,Camp Point Police Department,camp point,IL,City
IL0040100,Belvidere Police Department,belvidere,IL,City
IL0050100,Mount Sterling Police Department,mount sterling,IL,City
IL0120200,Marshall Police Department,marshall,IL,City
IL0120300,Martinsville Police Department,martinsville,IL,City
IL0150200,Charleston Police Department,charleston,IL,City
IL0150300,Mattoon Police Department,mattoon,IL,City
IL0230300,Paris Police Department,paris,IL,City
IL0230200,Kansas Police Department,kansas,IL,City
IL0230100,Chrisman Police Department,chrisman,IL,City
IL0370400,Cambridge Police Department,cambridge,IL,City
IL0370100,Alpha Police Department,alpha,IL,City
IL0370200,Annawan Police Department,annawan,IL,City
IL0370300,Atkinson Police Department,atkinson,IL,City
IL0370500,Colona Police Department,colona,IL,City
IL0370600,Galva Police Department,galva,IL,City
IL0370700,Geneseo Police Department,geneseo,IL,City
IL0370900,Kewanee Police Department,kewanee,IL,City
IL0371000,Orion Police Department,orion,IL,City
IL0371100,Woodhull Police Department,woodhull,IL,City
IL0540100,Atlanta Police Department,atlanta,IL,City
IL0540200,Lincoln Police Department,lincoln,IL,City
IL0540300,Mount Pulaski Police Department,mount pulaski,IL,City
IL0580100,Blue Mound Police Department,blue mound,IL,City
IL0580400,Mount Zion Police Department,mount zion,IL,City
IL0580900,Warrensburg Police Department,warrensburg,IL,City
IL0580300,Maroa Police Department,maroa,IL,City
IL0580200,Decatur Police Department,decatur,IL,City
IL0630800,Forest City Police Department,forest city,IL,City
IL0630600,Easton Police Department,easton,IL,City
IL0630300,Manito Police Department,manito,IL,City
IL0630200,Mason City Police Department,mason city,IL,City
IL0630100,Havana Police Department,havana,IL,City
IL0730100,Du Quoin Police Department,du quoin,IL,City
IL0730600,Willisville Police Department,willisville,IL,City
IL0730200,Pinckneyville Police Department,pinckneyville,IL,City
IL0740100,Bement Police Department,bement,IL,City
IL0740400,Mansfield Police Department,mansfield,IL,City
IL0740300,Monticello Police Department,monticello,IL,City
IL0860200,Winchester Police Department,winchester,IL,City
IL0860400,Bluffs Police Department,bluffs,IL,City
IL0880300,Bradford Police Department,bradford,IL,City
IL0880100,Toulon Police Department,toulon,IL,City
IL0880200,Wyoming Police Department,wyoming,IL,City
IL0910100,Anna Police Department,anna,IL,City
IL0910400,Dongola Police Department,dongola,IL,City
IL0910200,Cobden Police Department,cobden,IL,City
IL0910300,Jonesboro Police Department,jonesboro,IL,City
IL0960100,Fairfield Police Department,fairfield,IL,City
IL0960200,Wayne City Police Department,wayne city,IL,City
IL0970300,Norris City Police Department,norris city,IL,City
IL0970600,Enfield  Police Department,enfield,IL,City
IL0970100,Carmi Police Department,carmi,IL,City
IL0061000,La Moille Police Department,la moille,IL,City
IL0060100,Buda Police Department,buda,IL,City
IL0060200,De Pue Police Department,de pue,IL,City
IL0060300,Ladd Police Department,ladd,IL,City
IL0060400,Princeton Police Department,princeton,IL,City
IL0060600,Spring Valley Police Department,spring valley,IL,City
IL0060700,Walnut Police Department,walnut,IL,City
IL0061600,Cherry Police Department,cherry,IL,City
IL0061500,Neponset Police Department,neponset,IL,City
IL0061400,Bureau Police Department,bureau,IL,City
IL0190200,Hinckley Police Department,hinckley,IL,City
IL0190900,Kirkland Police Department,kirkland,IL,City
IL0190100,Genoa Police Department,genoa,IL,City
IL0190500,Sycamore Police Department,sycamore,IL,City
IL0190700,Cortland Police Department,cortland,IL,City
IL0191000,Malta Police Department,malta,IL,City
IL0190600,Waterman Police Department,waterman,IL,City
IL0191300,Kingston Police Department,kingston,IL,City
IL0190800,DeKalb Police Department,dekalb,IL,City
IL0200100,Clinton Police Department,clinton,IL,City
IL0200200,Farmer City Police Department,farmer city,IL,City
IL0221900,West Chicago Police Department,west chicago,IL,City
IL0220100,Addison Police Department,addison,IL,City
IL0220200,Bensenville Police Department,bensenville,IL,City
IL0220300,Bloomingdale Police Department,bloomingdale,IL,City
IL0220400,Carol Stream Police Department,carol stream,IL,City
IL0220500,Clarendon Hills Police Department,clarendon hills,IL,City
IL0220600,Downers Grove Police Department,downers grove,IL,City
IL0220800,Glendale Heights Police Department,glendale heights,IL,City
IL0220900,Glen Ellyn Police Department,glen ellyn,IL,City
IL0221100,Itasca Police Department,itasca,IL,City
IL0221200,Lisle Police Department,lisle,IL,City
IL0221300,Lombard Police Department,lombard,IL,City
IL0221700,Villa Park Police Department,villa park,IL,City
IL0222000,Westmont Police Department,westmont,IL,City
IL0222100,Wheaton Police Department,wheaton,IL,City
IL0222200,Winfield Police Department,winfield,IL,City
IL0222300,Wood Dale Police Department,wood dale,IL,City
IL0222500,Warrenville Police Department,warrenville,IL,City
IL0222700,Darien Police Department,darien,IL,City
IL0222900,Oakbrook Terrace Police Department,oakbrook terrace,IL,City
IL0223000,Willowbrook Police Department,willowbrook,IL,City
IL0290200,Canton Police Department,canton,IL,City
IL0290400,Farmington Police Department,farmington,IL,City
IL0290500,Lewistown Police Department,lewistown,IL,City
IL0291600,Dunfermline Police Department,dunfermline,IL,City
IL0291100,Fairview Police Department,fairview,IL,City
IL0310100,Carrollton Police Department,carrollton,IL,City
IL0310200,Greenfield Police Department,greenfield,IL,City
IL0310300,Roodhouse Police Department,roodhouse,IL,City
IL0310400,White Hall Police Department,white hall,IL,City
IL0320300,Mazon Police Department,mazon,IL,City
IL0320400,Morris Police Department,morris,IL,City
IL0400100,Newton Police Department,newton,IL,City
IL0420100,Grafton Police Department,grafton,IL,City
IL0420200,Jerseyville Police Department,jerseyville,IL,City
IL0610900,Patoka Police Department,patoka,IL,City
IL0610500,Sandoval Police Department,sandoval,IL,City
IL0610400,Salem Police Department,salem,IL,City
IL0610300,Iuka Police Department,iuka,IL,City
IL0610100,Central City Police Department,central city,IL,City
IL0640100,Brookport Police Department,brookport,IL,City
IL0640300,Metropolis Police Department,metropolis,IL,City
IL0571200,McLean Police Department,mclean,IL,City
IL0570700,Danvers Police Department,danvers,IL,City
IL0570800,Colfax Police Department,colfax,IL,City
IL0571100,Hudson Police Department,hudson,IL,City
IL0571400,Stanford Police Department,stanford,IL,City
IL0571800,Downs Police Department,downs,IL,City
IL0570100,Bloomington Police Department,bloomington,IL,City
IL0570200,Normal Police Department,normal,IL,City
IL0570300,Chenoa Police Department,chenoa,IL,City
IL0570400,Heyworth Police Department,heyworth,IL,City
IL0570500,Le Roy Police Department,le roy,IL,City
IL0570600,Lexington Police Department,lexington,IL,City
IL0650100,Petersburg Police Department,petersburg,IL,City
IL0650200,Athens Police Department,athens,IL,City
IL0650300,Greenview Police Department,greenview,IL,City
IL0660400,New Windsor Police Department,new windsor,IL,City
IL0660100,Aledo Police Department,aledo,IL,City
IL0660700,Viola Police Department,viola,IL,City
IL0670300,Valmeyer Police Department,valmeyer,IL,City
IL0670200,Waterloo Police Department,waterloo,IL,City
IL0690200,Meredosia Police Department,meredosia,IL,City
IL0690600,Murrayville Police Department,murrayville,IL,City
IL0690400,South Jacksonville Police Department,south jacksonville,IL,City
IL0690300,Waverly Police Department,waverly,IL,City
IL0690100,Jacksonville Police Department,jacksonville,IL,City
IL0720400,Elmwood Police Department,elmwood,IL,City
IL0720900,Peoria Heights Police Department,peoria heights,IL,City
IL0721200,Glasford Police Department,glasford,IL,City
IL0720100,Bartonville Police Department,bartonville,IL,City
IL0720300,Chillicothe Police Department,chillicothe,IL,City
IL0720700,Peoria Police Department,peoria,IL,City
IL0780100,Granville Police Department,granville,IL,City
IL0780300,McNabb Police Department,mcnabb,IL,City
IL0830300,Harrisburg Police Department,harrisburg,IL,City
IL0830100,Carrier Mills Police Department,carrier mills,IL,City
IL0830200,Eldorado Police Department,eldorado,IL,City
IL0870700,Findlay Police Department,findlay,IL,City
IL0870200,Shelbyville Police Department,shelbyville,IL,City
IL0870600,Cowden Police Department,cowden,IL,City
IL0930100,Mount Carmel Police Department,mount carmel,IL,City
IL0940300,Monmouth Police Department,monmouth,IL,City
IL0070100,Hardin Police Department,hardin,IL,City
IL0080700,Thomson Police Department,thomson,IL,City
IL0080100,Chadwick Police Department,chadwick,IL,City
IL0080200,Lanark Police Department,lanark,IL,City
IL0080300,Milledgeville Police Department,milledgeville,IL,City
IL0080400,Mount Carroll Police Department,mount carroll,IL,City
IL0080500,Savanna Police Department,savanna,IL,City
IL0080600,Shannon Police Department,shannon,IL,City
IL0140700,Aviston Police Department,aviston,IL,City
IL0140600,Albers Police Department,albers,IL,City
IL0141300,Germantown Police Department,germantown,IL,City
IL0140300,Carlyle Police Department,carlyle,IL,City
IL0140200,Breese Police Department,breese,IL,City
IL0140100,Beckemeyer Police Department,beckemeyer,IL,City
IL0140500,Trenton Police Department,trenton,IL,City
IL0210100,Arcola Police Department,arcola,IL,City
IL0210500,Tuscola Police Department,tuscola,IL,City
IL0210600,Villa Grove Police Department,villa grove,IL,City
IL0210400,Newman Police Department,newman,IL,City
IL0240100,Albion Police Department,albion,IL,City
IL0240400,West Salem Police Department,west salem,IL,City
IL0260500,Farina Police Department,farina,IL,City
IL0260400,Vandalia Police Department,vandalia,IL,City
IL0260200,St. Elmo Police Department,st. elmo,IL,City
IL0260100,Ramsey Police Department,ramsey,IL,City
IL0340600,La Harpe Police Department,la harpe,IL,City
IL0340100,Carthage Police Department,carthage,IL,City
IL0340700,Nauvoo Police Department,nauvoo,IL,City
IL0340400,Hamilton Police Department,hamilton,IL,City
IL0390900,Grand Tower Police Department,grand tower,IL,City
IL0390500,Elkville Police Department,elkville,IL,City
IL0391000,Dowell Police Department,dowell,IL,City
IL0390100,Carbondale Police Department,carbondale,IL,City
IL0390200,Murphysboro Police Department,murphysboro,IL,City
IL0390400,De Soto Police Department,de soto,IL,City
IL0440100,Vienna Police Department,vienna,IL,City
IL0440200,Goreville Police Department,goreville,IL,City
IL0470100,Plano Police Department,plano,IL,City
IL0470300,Oswego Police Department,oswego,IL,City
IL0470200,Yorkville Police Department,yorkville,IL,City
IL0600100,Alton Police Department,alton,IL,City
IL0600200,Bethalto Police Department,bethalto,IL,City
IL0600400,East Alton Police Department,east alton,IL,City
IL0600500,Edwardsville Police Department,edwardsville,IL,City
IL0600700,Granite City Police Department,granite city,IL,City
IL0600800,Hartford Police Department,hartford,IL,City
IL0600900,Highland Police Department,highland,IL,City
IL0601000,Livingston Police Department,livingston,IL,City
IL0601200,Maryville Police Department,maryville,IL,City
IL0601300,Roxana Police Department,roxana,IL,City
IL0601400,Troy Police Department,troy,IL,City
IL0601500,Venice Police Department,venice,IL,City
IL0601600,Wood River Police Department,wood river,IL,City
IL0601900,South Roxana Police Department,south roxana,IL,City
IL0602100,Pontoon Beach Police Department,pontoon beach,IL,City
IL0602300,Glen Carbon Police Department,glen carbon,IL,City
IL0602400,Marine Police Department,marine,IL,City
IL0602500,St. Jacob Police Department,st. jacob,IL,City
IL0602600,Worden Police Department,worden,IL,City
IL0602800,Hamel Police Department,hamel,IL,City
IL0603800,Grantfork  Police Department,grantfork,IL,City
IL0560200,Cary Police Department,cary,IL,City
IL0560300,Crystal Lake Police Department,crystal lake,IL,City
IL0560500,Harvard Police Department,harvard,IL,City
IL0560600,Hebron Police Department,hebron,IL,City
IL0560900,Lake in the Hills Police Department,lake in the hills,IL,City
IL0561000,Marengo Police Department,marengo,IL,City
IL0561100,McCullom Lake Police Department,mccullom lake,IL,City
IL0561200,McHenry Police Department,mchenry,IL,City
IL0561300,Richmond Police Department,richmond,IL,City
IL0561400,Johnsburg Police Department,johnsburg,IL,City
IL0561500,Woodstock Police Department,woodstock,IL,City
IL0561700,Lakewood Police Department,lakewood,IL,City
IL0561800,Oakwood Hills Police Department,oakwood hills,IL,City
IL0561900,Spring Grove Police Department,spring grove,IL,City
IL0562100,Holiday Hills  Police Department,holiday hills,IL,City
IL0562200,Wonder Lake Police Department,wonder lake,IL,City
IL0562400,Union Police Department,union,IL,City
IL0562500,Bull Valley Police Department,bull valley,IL,City
IL0562600,Prairie Grove  Police Department,prairie grove,IL,City
IL0770400,Ullin Police Department,ullin,IL,City
IL0770300,Mounds Police Department,mounds,IL,City
IL0170400,Hutsonville Police Department,hutsonville,IL,City
IL0170100,Oblong Police Department,oblong,IL,City
IL0170200,Palestine Police Department,palestine,IL,City
IL0170300,Robinson Police Department,robinson,IL,City
IL0281100,Valier Police Department,valier,IL,City
IL0280100,Benton Police Department,benton,IL,City
IL0280200,Christopher Police Department,christopher,IL,City
IL0280300,Royalton Police Department,royalton,IL,City
IL0280400,Sesser Police Department,sesser,IL,City
IL0280500,West Frankfort Police Department,west frankfort,IL,City
IL0280600,Zeigler Police Department,zeigler,IL,City
IL0280900,West City Police Department,west city,IL,City
IL0281000,Buckner Police Department,buckner,IL,City
IL0300200,Shawneetown Police Department,shawneetown,IL,City
IL0300100,Ridgway Police Department,ridgway,IL,City
IL0330100,McLeansboro Police Department,mcleansboro,IL,City
IL0381100,Clifton Police Department,clifton,IL,City
IL0380300,Milford Police Department,milford,IL,City
IL0380400,Onarga Police Department,onarga,IL,City
IL0380500,Sheldon Police Department,sheldon,IL,City
IL0380100,Watseka Police Department,watseka,IL,City
IL0460200,Kankakee Police Department,kankakee,IL,City
IL0460400,Momence Police Department,momence,IL,City
IL0460500,Manteno Police Department,manteno,IL,City
IL0460100,Bradley Police Department,bradley,IL,City
IL0460900,Essex Police Department,essex,IL,City
IL0461100,Grant Park Police Department,grant park,IL,City
IL0461000,Herscher Police Department,herscher,IL,City
IL0460600,St. Anne Police Department,st. anne,IL,City
IL0460300,Bourbonnais Police Department,bourbonnais,IL,City
IL0500700,Ottawa Police Department,ottawa,IL,City
IL0501700,North Utica Police Department,north utica,IL,City
IL0501100,Earlville Police Department,earlville,IL,City
IL0501300,Grand Ridge Police Department,grand ridge,IL,City
IL0500100,La Salle Police Department,la salle,IL,City
IL0502400,Dana Police Department,dana,IL,City
IL0501500,Sheridan Police Department,sheridan,IL,City
IL0500300,Marseilles Police Department,marseilles,IL,City
IL0500400,Mendota Police Department,mendota,IL,City
IL0500600,Oglesby Police Department,oglesby,IL,City
IL0500200,Leland Police Department,leland,IL,City
IL0501600,Tonica Police Department,tonica,IL,City
IL0510200,Lawrenceville Police Department,lawrenceville,IL,City
IL0510400,St. Francisville Police Department,st. francisville,IL,City
IL0510300,Sumner Police Department,sumner,IL,City
IL0510100,Bridgeport Police Department,bridgeport,IL,City
IL0590300,Bunker Hill Police Department,bunker hill,IL,City
IL0590400,Carlinville Police Department,carlinville,IL,City
IL0590500,Gillespie Police Department,gillespie,IL,City
IL0590600,Girard Police Department,girard,IL,City
IL0591200,Palmyra Police Department,palmyra,IL,City
IL0590700,Mount Olive Police Department,mount olive,IL,City
IL0590900,Staunton Police Department,staunton,IL,City
IL0620200,Lacon Police Department,lacon,IL,City
IL0620100,Henry Police Department,henry,IL,City
IL0700100,Bethany Police Department,bethany,IL,City
IL0700200,Lovington Police Department,lovington,IL,City
IL0700300,Sullivan Police Department,sullivan,IL,City
IL0790600,Coulterville Police Department,coulterville,IL,City
IL0792100,Ellis Grove Police Department,ellis grove,IL,City
IL0791100,Baldwin Police Department,baldwin,IL,City
IL0790900,Ruma  Police Department,ruma,IL,City
IL0790800,Prairie du Rocher Police Department,prairie du rocher,IL,City
IL0790100,Chester Police Department,chester,IL,City
IL0790300,Sparta Police Department,sparta,IL,City
IL0790200,Red Bud Police Department,red bud,IL,City
IL0800100,Olney Police Department,olney,IL,City
IL0840100,Grandview Police Department,grandview,IL,City
IL0840200,Springfield Police Department,springfield,IL,City
IL0840300,Auburn Police Department,auburn,IL,City
IL0840400,Chatham Police Department,chatham,IL,City
IL0840600,Pawnee Police Department,pawnee,IL,City
IL0840700,Riverton Police Department,riverton,IL,City
IL0840800,Williamsville Police Department,williamsville,IL,City
IL0840900,Rochester Police Department,rochester,IL,City
IL0841000,Buffalo-Mechanicsburg Police Department,buffalo-mechanicsburg,IL,City
IL0841100,Divernon Police Department,divernon,IL,City
IL0841300,Leland Grove Police Department,leland grove,IL,City
IL0841400,Sherman Police Department,sherman,IL,City
IL0841500,Southern View Police Department,southern view,IL,City
IL0841700,Jerome Police Department,jerome,IL,City
IL0842300,Loami Police Department,loami,IL,City
IL0842400,Pleasant Plains Police Department,pleasant plains,IL,City
IL0842900,New Berlin Police Department,new berlin,IL,City
IL0843000,Thayer Police Department,thayer,IL,City
IL0850100,Rushville Police Department,rushville,IL,City
IL0820800,Freeburg Police Department,freeburg,IL,City
IL0820600,Dupo Police Department,dupo,IL,City
IL0820400,Caseyville Police Department,caseyville,IL,City
IL0822800,Smithton Police Department,smithton,IL,City
IL0820200,Belleville Police Department,belleville,IL,City
IL0822500,Shiloh Police Department,shiloh,IL,City
IL0822400,Fairview Heights Police Department,fairview heights,IL,City
IL0822300,Swansea Police Department,swansea,IL,City
IL0822200,Sauget Police Department,sauget,IL,City
IL0825200,Cahokia Heights Police Department,cahokia heights,IL,City
IL0821500,New Athens Police Department,new athens,IL,City
IL0821200,Millstadt Police Department,millstadt,IL,City
IL0821100,Mascoutah Police Department,mascoutah,IL,City
IL0824000,East Carondelet Police Department,east carondelet,IL,City
IL0821000,Marissa Police Department,marissa,IL,City
IL0820900,Lebanon Police Department,lebanon,IL,City
IL0820700,East St. Louis Police Department,east st. louis,IL,City
IL0821900,Brooklyn Police Department,brooklyn,IL,City
IL0821700,Washington Park Police Department,washington park,IL,City
IL0821600,O'Fallon Police Department,o'fallon,IL,City
IL0900700,Morton Police Department,morton,IL,City
IL0900100,Creve Coeur Police Department,creve coeur,IL,City
IL0900200,Delavan Police Department,delavan,IL,City
IL0900300,East Peoria Police Department,east peoria,IL,City
IL0900400,Hopedale Police Department,hopedale,IL,City
IL0900500,Marquette Heights Police Department,marquette heights,IL,City
IL0900600,Minier Police Department,minier,IL,City
IL0900800,North Pekin Police Department,north pekin,IL,City
IL0900900,Pekin Police Department,pekin,IL,City
IL0901000,Washington Police Department,washington,IL,City
IL0901100,Mackinaw Police Department,mackinaw,IL,City
IL0901200,South Pekin Police Department,south pekin,IL,City
IL0901300,Tremont Police Department,tremont,IL,City
IL0901400,Green Valley Police Department,green valley,IL,City
IL1020100,El Paso Police Department,el paso,IL,City
IL1020300,Metamora Police Department,metamora,IL,City
IL1020200,Eureka Police Department,eureka,IL,City
IL0020100,Cairo Police Department,cairo,IL,City
IL0101000,Thomasboro Police Department,thomasboro,IL,City
IL0100100,Champaign Police Department,champaign,IL,City
IL0100300,Mahomet Police Department,mahomet,IL,City
IL0100400,Rantoul Police Department,rantoul,IL,City
IL0100500,Tolono Police Department,tolono,IL,City
IL0100600,Urbana Police Department,urbana,IL,City
IL0101100,Gifford Police Department,gifford,IL,City
IL0100800,Fisher Police Department,fisher,IL,City
IL0110300,Kincaid Police Department,kincaid,IL,City
IL0110700,Morrisonville Police Department,morrisonville,IL,City
IL0110200,Taylorville Police Department,taylorville,IL,City
IL0110400,Stonington Police Department,stonington,IL,City
IL0110500,Assumption Police Department,assumption,IL,City
IL0110600,Edinburg Police Department,edinburg,IL,City
IL0250600,Teutopolis Police Department,teutopolis,IL,City
IL0250100,Altamont Police Department,altamont,IL,City
IL0250200,Effingham Police Department,effingham,IL,City
IL0360200,Oquawka Police Department,oquawka,IL,City
IL0360600,Stronghurst  Police Department,stronghurst,IL,City
IL0360100,Gulfport Police Department,gulfport,IL,City
IL0410700,Ina Police Department,ina,IL,City
IL0410100,Mount Vernon Police Department,mount vernon,IL,City
IL0550100,Blandinsville Police Department,blandinsville,IL,City
IL0550400,Macomb Police Department,macomb,IL,City
IL0550300,Colchester Police Department,colchester,IL,City
IL0550200,Bushnell Police Department,bushnell,IL,City
IL0921900,Henning Police Department,henning,IL,City
IL0920400,Fairmount Police Department,fairmount,IL,City
IL0921000,Rossville Police Department,rossville,IL,City
IL0921800,Fithian Police Department,fithian,IL,City
IL0921600,Sidell Police Department,sidell,IL,City
IL0921300,Oakwood Police Department,oakwood,IL,City
IL0920600,Hoopeston Police Department,hoopeston,IL,City
IL0921100,Tilton Police Department,tilton,IL,City
IL0920900,Ridge Farm Police Department,ridge farm,IL,City
IL0920300,Danville Police Department,danville,IL,City
IL0920200,Catlin Police Department,catlin,IL,City
IL0922000,Indianola Police Department,indianola,IL,City
IL0920500,Georgetown Police Department,georgetown,IL,City
IL0921200,Westville Police Department,westville,IL,City
IL0920700,Potomac Police Department,potomac,IL,City
IL0980500,Prophetstown Police Department,prophetstown,IL,City
IL0980400,Morrison Police Department,morrison,IL,City
IL0980100,Albany Police Department,albany,IL,City
IL0980900,Erie Police Department,erie,IL,City
IL0980800,Tampico Police Department,tampico,IL,City
IL0980700,Sterling Police Department,sterling,IL,City
IL0980600,Rock Falls Police Department,rock falls,IL,City
IL0980200,Fulton Police Department,fulton,IL,City
IL1011700,Machesney Park Police Department,machesney park,IL,City
IL1010900,Winnebago Police Department,winnebago,IL,City
IL1010300,Pecatonica Police Department,pecatonica,IL,City
IL1010500,Rockton Police Department,rockton,IL,City
IL1010600,Roscoe Police Department,roscoe,IL,City
IL1010700,South Beloit Police Department,south beloit,IL,City
IL1011000,Durand Police Department,durand,IL,City
IL0450600,Elgin Police Department,elgin,IL,City
IL0160300,Barrington Police Department,barrington,IL,City
IL0490300,Deerfield Police Department,deerfield,IL,City
IL0161400,Buffalo Grove Police Department,buffalo grove,IL,City
IL0168A00,Steger Police Department,steger,IL,City
IL0168300,Orland Park Police Department,orland park,IL,City
IL0168800,Park Forest Police Department,park forest,IL,City
IL0165M00,Tinley Park Police Department,tinley park,IL,City
IL0992000,University Park Police Department,university park,IL,City
IL0180200,Neoga Police Department,neoga,IL,City
IL0180100,Greenup Police Department,greenup,IL,City
IL0430100,East Dubuque Police Department,east dubuque,IL,City
IL0430200,Elizabeth Police Department,elizabeth,IL,City
IL0430300,Galena Police Department,galena,IL,City
IL0430400,Hanover Police Department,hanover,IL,City
IL0430500,Stockton Police Department,stockton,IL,City
IL0430600,Warren Police Department,warren,IL,City
IL0430700,Apple River Police Department,apple river,IL,City
IL0530200,Pontiac Police Department,pontiac,IL,City
IL0530300,Fairbury Police Department,fairbury,IL,City
IL0680700,Irving Police Department,irving,IL,City
IL0681600,Farmersville Police Department,farmersville,IL,City
IL0680800,Coffeen Police Department,coffeen,IL,City
IL0680500,Witt Police Department,witt,IL,City
IL0680400,Raymond Police Department,raymond,IL,City
IL0680300,Nokomis Police Department,nokomis,IL,City
IL0680200,Litchfield Police Department,litchfield,IL,City
IL0680100,Hillsboro Police Department,hillsboro,IL,City
IL0890100,Freeport Police Department,freeport,IL,City
IL0890200,Lena Police Department,lena,IL,City
IL0890400,Cedarville Police Department,cedarville,IL,City
IL0891100,Davis  Police Department,davis,IL,City
IL0891300,German Valley Police Department,german valley,IL,City
IL0950300,Okawville Police Department,okawville,IL,City
IL0950200,Nashville Police Department,nashville,IL,City
IL0950500,Irvington Police Department,irvington,IL,City
IL1000400,Marion Police Department,marion,IL,City
IL1000500,Cambria Police Department,cambria,IL,City
IL1000300,Johnston City Police Department,johnston city,IL,City
IL1000900,Hurst Police Department,hurst,IL,City
IL1000200,Herrin Police Department,herrin,IL,City
IL1000800,Energy Police Department,energy,IL,City
IL1000100,Carterville Police Department,carterville,IL,City
IL0810600,Moline Police Department,moline,IL,City
IL0810800,Rock Island Police Department,rock island,IL,City
IL0810900,Silvis Police Department,silvis,IL,City
IL0811400,Hillsdale Police Department,hillsdale,IL,City
IL0810400,East Moline Police Department,east moline,IL,City
IL0810500,Milan Police Department,milan,IL,City
IL0221000,Hinsdale Police Department,hinsdale,IL,City
IL0221500,Oak Brook Police Department,oak brook,IL,City
IL0221600,Roselle Police Department,roselle,IL,City
IL0223100,Burr Ridge Police Department,burr ridge,IL,City
IL0164200,Hanover Park Police Department,hanover park,IL,City
IL0220700,Elmhurst Police Department,elmhurst,IL,City
IL0451800,Maple Park Police Department,maple park,IL,City
IL0221800,Wayne Police Department,wayne,IL,City
IL0451400,St. Charles Police Department,st. charles,IL,City
IL0221400,Naperville Police Department,naperville,IL,City
IL0990200,Bolingbrook Police Department,bolingbrook,IL,City
IL0222400,Woodridge Police Department,woodridge,IL,City
IL0320100,Coal City Police Department,coal city,IL,City
IL0996000,Diamond Police Department,diamond,IL,City
IL0991800,Channahon Police Department,channahon,IL,City
IL0996100,Godley Police Department,godley,IL,City
IL0990300,Braidwood Police Department,braidwood,IL,City
IL0630400,San Jose Police Department,san jose,IL,City
IL0030500,Pierron Police Department,pierron,IL,City
IL0450900,Montgomery Police Department,montgomery,IL,City
IL0560100,Algonquin Police Department,algonquin,IL,City
IL0560700,Huntley Police Department,huntley,IL,City
IL0991100,Plainfield Police Department,plainfield,IL,City
IL0990700,Joliet Police Department,joliet,IL,City
IL0560400,Fox River Grove Police Department,fox river grove,IL,City
IL0490400,Fox Lake Police Department,fox lake,IL,City
IL0492400,Island Lake Police Department,island lake,IL,City
IL0561600,Lakemoor Police Department,lakemoor,IL,City
IL0210300,Atwood Police Department,atwood,IL,City
IL0970200,Grayville Police Department,grayville,IL,City
IL0290600,Avon Police Department,avon,IL,City
IL0940100,Alexis Police Department,alexis,IL,City
IL0190300,Sandwich Police Department,sandwich,IL,City
IL1010400,Rockford Police Department,rockford,IL,City
IL0681300,Donnellson Police Department,donnellson,IL,City
IL1010200,Loves Park Police Department,loves park,IL,City
IL1010100,Cherry Valley Police Department,cherry valley,IL,City
IL0500800,Peru Police Department,peru,IL,City
IL0190400,Somonauk Police Department,somonauk,IL,City
IL0500900,Seneca Police Department,seneca,IL,City
IL0590200,Brighton Police Department,brighton,IL,City
IL0670100,Columbia Police Department,columbia,IL,City
IL0870100,Moweaqua Police Department,moweaqua,IL,City
IL0110100,Pana Police Department,pana,IL,City
IL0120100,Casey Police Department,casey,IL,City
IL0140400,New Baden Police Department,new baden,IL,City
IL0210200,Arthur Police Department,arthur,IL,City
IL0822000,Fairmont City Police Department,fairmont city,IL,City
IL0601100,Madison Police Department,madison,IL,City
IL0600300,Collinsville Police Department,collinsville,IL,City
IL0160500,Bartlett Police Department,bartlett,IL,City
IL0166000,Lemont Police Department,lemont,IL,City
IL0530100,Dwight Police Department,dwight,IL,City
IL0340300,Dallas City Police Department,dallas city,IL,City
IL0810300,Coal Valley Police Department,coal valley,IL,City
IL0591000,Virden Police Department,virden,IL,City
